Gymnodinium name	Correct Name or Reason for Rejecting	Reference
Gymnodinium palustre (Schilling) Wołoszynska 1917	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306, Wołoszynska 1917]
Gymnodinium palustre Schilling 1891	Spiniferodinium palustre (Schilling) Kretschmann & Gottschling 2015	[12, Kretschmann et al. 2015]
Gymnodinium parasitica	Oodinium parasiticum (Dogiel) Kofoid and Swezy 1921	[19]
Gymnodinium parasiticum Dogiel 1906	Oodinium parasiticum (Dogiel) Kofoid and Swezy 1921	[19]
Gymnodinium parvulum Schutt 1895	Gyrodinium parvulum (Schütt) Kofoid and Swezy 1921	[19]
Gymnodinium pascheri (Suchlandt) Schiller 1954	Woloszynskia pascheri (Suchlandt) von Stosch 1973	[12]
Gymnodinium pellucidum Wulff 1919	Gyrodinium pellucidum (Wulff) Schiller 1933	[21]
Gymnodinium pepo	Erroneously formed name, Gyrodinium pepo (Schütt) Kofoid and Swezy 1921	
Gymnodinium peridinium	Not code compliant	[327]
Gymnodinium pigmentosum (Dodge) Loeblich 1970	Aureodinium pigmentosum Dodge 1967	[328]
Gymnodinium pirum Schütt 1895	Cochlodinium pirum (Schütt) Lemmermann 1921	[309]
Gymnodinium polonicum (Wołoszynska) Wołoszynska 1917	Woloszynskia pascheri (Suchlandt) von Stosch 1973	[12]
Gymnodinium polyphemus  var. nigrum Pouchet 1887	Protospis nigra (Pouchet) Kofoid and Swezy 1921	[19]
Gymnodinium polyphemus  var. roseum Pouchet Pouchet 1897	Pouchetia roseum (Pouchet) Kofoid and Swezy 1921	[19]
Gymnodinium polyphemus Pouchet 1885	Warnowia polyphemus (Pouchet) Schiller 1933	[21]
Gymnodinium polyphemus var. magna Dogiel 1906	Rejected by Kofoid and Swezy as nomen nudum	[19]
Gymnodinium poucheti Lemmermann 1899	Oodinium pouchetii (Lemmermann) Chatton 1912	[19]
Gymnodinium pouchetii Lemmermann 1899	Oodinium pouchetii (Lemmermann) Chatton 1912	[19]
Gymnodinium pouchettii	Oodinium pouchetii (Lemmermann) Chatton 1912	[19]
Gymnodinium prunus	Erroneously formed name, Gyrodinium prunus (Wulff) Lebour 1925	
Gymnodinium pseudonoctiluca Pouchet 1885	Spatulodinium pseudonoctiluca (Pouchet) Cachon and Cachon 1969	[316]
Gymnodinium pseudopalustre	Biecheleria pseudopalustris (Schiller) Moestrup et al. 2009	[306]
Gymnodinium pseudopalustre Wołoszynska	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[12,306]
Gymnodinium pseudopalustris Schiller 1932	Biecheleria pseudopalustris (Schiller) Moestrup, Lindberg & Daugbjerg 2009	[306]
Gymnodinium pulchellum Larsen 1994	Takayama pulchella (Larsen) de Salas et al. 2003	[314]
Gymnodinium pulvisculus (Ehrenberg) Stein 1878	Erroneously formed name, Glenodinium pulvisculus (Ehrenberg) Stein	[31]
Gymnodinium pulvisculus Pouchet 1885	Oodinium pouchetii (Lemmermann) Chatton 1912	[329]
Gymnodinium pulvisculus  var. oculatum Largajolli 1907	Glenodinium pulvisculus (Ehrenberg) Stein	[330]
Gymnodinium pusillum Schilling 1891	Gyrodinium pusillum (Schilling) Kofoid and Swezy 1921	[19]
Gymnodinium pyrenoidosum Horiguchi & Chihara 1988	Needs to be placed in new genus	[331]
Gymnodinium quadridens	Peridiniopsis quadridens (Thompson) Bourrelly	[12]
Gymnodinium quadrilobatum Horguchi & Pienaar 1994	Needs to be placed in new genus	[332]
Gymnodinium rarum Litvinenko 1963	Amphidinium elenkinii Skvortsov 1925	[308]
Gymnodinium resplendens Hulburt 1975	Erroneously formed name, Gyrodinium resplendens Hulburt 1957	
Gymnodinium robusta	Misspelling of nomen nudum Gymnodinium robustum Cleve-Euler	
Gymnodinium robustum Cleve-Euler	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium roseum Dogiel 1906	Chytriodinium roseum (Dogiel) Chatton 1912	[19]
Gymnodinium rubrum Kofoid & Swezy 1921	Gyrodinium rubrum (Kofoid & Swezy) Takano & Horiguchi 2004	[322]
Gymnodinium sangineum	Akashiwo sanguinea (Hirasaka) Hansen and Moestrup 2000	[7]
Gymnodinium sanguineum Hirasaka 1922	Akashiwo sanguinea (Hirasaka) Hansen and Moestrup 2000	[7]
