Measurement ID	Occurrence ID	MeasurementParent	MeasurementOfTaxon	Measurement Type	Measurement Value	Unit	Statistical Method	Remarks	Contributor	ReferenceID
M0113	C012		true	http://purl.obolibrary.org/obo/GO_0097687	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R010
M0114	C012		true	http://purl.obolibrary.org/obo/GO_0097686	http://purl.obolibrary.org/obo/PATO_0000467				Compiler: Anne E Thessen	R010
M0115	C012		true	http://purl.obolibrary.org/obo/GO_0009507	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R010
M0116	C012		true	http://purl.obolibrary.org/obo/GO_0097618	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R010
M0117	C012		true	http://purl.obolibrary.org/obo/GO_1990413	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R010
M0118	C012		true	http://purl.obolibrary.org/obo/OBA_1000084	http://purl.obolibrary.org/obo/PATO_0000701				Compiler: Anne E Thessen	R010
M0119	C012		true	http://purl.obolibrary.org/obo/OBA_1000133	http://purl.obolibrary.org/obo/PATO_0002258				Compiler: Anne E Thessen	R010
M0120	C012		true	http://purl.obolibrary.org/obo/OBA_1000092	http://eol.org/schema/terms/wideAndDeep				Compiler: Anne E Thessen	R010
M0121	C012		true	http://eol.org/schema/terms/NucleusLocation	http://purl.obolibrary.org/obo/PATO_0002268				Compiler: Anne E Thessen	R010
M0122	C012		true	http://purl.obolibrary.org/obo/OBA_1000093	http://purl.obolibrary.org/obo/PATO_0002224				Compiler: Anne E Thessen	R010
M0123	C012		true	http://eol.org/schema/terms/CingulumType	http://eol.org/schema/terms/descendingCingulum				Compiler: Anne E Thessen	R010
M0124	C012		true	http://eol.org/schema/terms/SulcusType	http://eol.org/schema/terms/protrudingSulcus				Compiler: Anne E Thessen	R010
M0125	C013		true	http://eol.org/schema/terms/SulcusType	http://eol.org/schema/terms/protrudingSulcus				Compiler: Anne E Thessen	R011
M0126	C013		true	http://purl.obolibrary.org/obo/OBA_1000018	http://purl.obolibrary.org/obo/PATO_0001499				Compiler: Anne E Thessen	R011
M0127	C013		true	http://eol.org/schema/terms/NucleusLocation	http://purl.obolibrary.org/obo/BSPO_0000055				Compiler: Anne E Thessen	R011
M0128	C013		true	http://eol.org/schema/terms/CellShape3D	http://purl.obolibrary.org/obo/PATO_0001874				Compiler: Anne E Thessen	R011
M0129	C013		true	http://eol.org/schema/terms/CingulumType	http://eol.org/schema/terms/noDisplaceCingulum				Compiler: Anne E Thessen	R011
M0130	C013		true	http://purl.obolibrary.org/obo/GO_0097687	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R011
M0131	C013		true	http://purl.obolibrary.org/obo/GO_0097686	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R011
M0132	C013		true	http://eol.org/schema/terms/ColonyForming	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R011
M0133	C013		true	http://purl.obolibrary.org/obo/GO_0009507	http://purl.obolibrary.org/obo/PATO_0000467				Compiler: Anne E Thessen	R011
M0134	C013		true	http://purl.obolibrary.org/obo/OBA_1000084	http://purl.obolibrary.org/obo/PATO_0000701				Compiler: Anne E Thessen	R011
M0135	C014		true	http://eol.org/schema/terms/CellShapeFrontal	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R012
M0136	C014		true	http://eol.org/schema/terms/CellLength	33.75	http://purl.obolibrary.org/obo/UO_0000017	http://www.ebi.ac.uk/efo/EFO_0001444		Compiler: Anne E Thessen	R012
M0137	C014		true	http://eol.org/schema/terms/CellWidth	21.69	http://purl.obolibrary.org/obo/UO_0000017	http://www.ebi.ac.uk/efo/EFO_0001444		Compiler: Anne E Thessen	R012
M0138	C014		true	http://purl.obolibrary.org/obo/OBA_0000052	http://purl.obolibrary.org/obo/PATO_0002053				Compiler: Anne E Thessen	R012
M0139	C014		true	http://eol.org/schema/terms/CellShapeMedian	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R012
M0140	C014		true	http://eol.org/schema/terms/CellShapeTransverse	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R012
M0141	C014		true	http://eol.org/schema/terms/CingulumLocation	http://purl.obolibrary.org/obo/FMA_74528				Compiler: Anne E Thessen	R012
M0142	C014		true	http://eol.org/schema/terms/CingulumType	http://eol.org/schema/terms/noDisplaceCingulum				Compiler: Anne E Thessen	R012
M0143	C014		true	http://purl.obolibrary.org/obo/GO_0097618	http://purl.obolibrary.org/obo/PATO_0000467				Compiler: Anne E Thessen	R012
M0144	C014		true	http://purl.obolibrary.org/obo/OBA_1000094	http://purl.obolibrary.org/obo/PATO_0001874				Compiler: Anne E Thessen	R012
M0145	C014		true	http://eol.org/schema/terms/ChloroplastLocation	http://purl.obolibrary.org/obo/PATO_0002107				Compiler: Anne E Thessen	R012
M0146	C014		true	http://purl.obolibrary.org/obo/OBA_1000095	http://purl.obolibrary.org/obo/PATO_0001629				Compiler: Anne E Thessen	R012
M0147	C014		true	http://purl.obolibrary.org/obo/OBA_1000075	http://purl.obolibrary.org/obo/PATO_0000337				Compiler: Anne E Thessen	R012
M0148	C014		true	http://purl.obolibrary.org/obo/GO_1990413	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R012
M0149	C016		true	http://purl.obolibrary.org/obo/OBA_1000096	http://purl.obolibrary.org/obo/PATO_0000320				Compiler: Anne E Thessen	R014
M0150	C016		true	http://eol.org/schema/terms/CellLength	35	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R014
M0151	C016		true	http://eol.org/schema/terms/CellLength	33	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R014
M0152	C016		true	http://eol.org/schema/terms/CellWidth	22	http://purl.obolibrary.org/obo/UO_0000017	http://www.ebi.ac.uk/efo/EFO_0001444		Compiler: Anne E Thessen	R014
M0153	C016		true	http://eol.org/schema/terms/Habitat	http://eol.org/schema/terms/freshwaterPond				Compiler: Anne E Thessen	R014
M0154	C016		true	http://eol.org/schema/terms/Habitat	http://eol.org/schema/terms/freshwaterLake				Compiler: Anne E Thessen	R014
M0155	C017		true	http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/ENVO_00000570				Compiler: Anne E Thessen	R015
M0156	C017		true	http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/ENVO_00002011				Compiler: Anne E Thessen	R015
M0157	C018		true	http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/ENVO_00002011				Compiler: Anne E Thessen	R016
M0158	C020		true	http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/ENVO_00002011				Compiler: Anne E Thessen	R004
M0159	C024		true	http://eol.org/schema/terms/CellShapeFrontal	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R021
M0160	C024		true	http://purl.obolibrary.org/obo/OBA_0000052	http://purl.obolibrary.org/obo/PATO_0002053				Compiler: Anne E Thessen	R021
M0161	C024		true	http://eol.org/schema/terms/CellShapeTransverse	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R021
M0162	C024		true	http://eol.org/schema/terms/CellShapeMedian	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R021
M0163	C024		true	http://eol.org/schema/terms/CingulumLocation	http://purl.obolibrary.org/obo/FMA_74528				Compiler: Anne E Thessen	R021
M0164	C024		true	http://purl.obolibrary.org/obo/GO_0097618	http://purl.obolibrary.org/obo/PATO_0000467				Compiler: Anne E Thessen	R021
M0165	C024		true	http://eol.org/schema/terms/EpiconeShape	http://eol.org/schema/terms/bellShape				Compiler: Anne E Thessen	R021
M0166	C024		true	http://purl.obolibrary.org/obo/OBA_1000133	http://purl.obolibrary.org/obo/PATO_0001950				Compiler: Anne E Thessen	R021
M0167	C024		true	http://purl.obolibrary.org/obo/OBA_1000134	http://purl.obolibrary.org/obo/PATO_0001950				Compiler: Anne E Thessen	R021
M0168	C024		true	http://purl.obolibrary.org/obo/OBA_1000096	http://eol.org/schema/terms/bluish-green				Compiler: Anne E Thessen	R021
M0169	C024		true	http://eol.org/schema/terms/ChloroplastQuantity	http://eol.org/schema/terms/numerous				Compiler: Anne E Thessen	R021
M0170	C024		true	http://purl.obolibrary.org/obo/OBA_1000097	http://purl.obolibrary.org/obo/PATO_0000587				Compiler: Anne E Thessen	R021
M0171	C024		true	http://purl.obolibrary.org/obo/OBA_1000075	http://purl.obolibrary.org/obo/PATO_0000337				Compiler: Anne E Thessen	R021
M0172	C024		true	http://eol.org/schema/terms/CellLength	34	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R021
M0173	C024		true	http://eol.org/schema/terms/CellLength	33	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R021
M0174	C024		true	http://eol.org/schema/terms/CellWidth	22	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R021
M0175	C024		true	http://eol.org/schema/terms/CellWidth	21	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R021
M0176	C024		true	http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/ENVO_00002011			high in organic matter	Compiler: Anne E Thessen	R021
M0177	C025		true	http://purl.obolibrary.org/obo/OBA_1000075	http://purl.obolibrary.org/obo/PATO_0001424				Compiler: Anne E Thessen	R022
M0178	C025		true	http://eol.org/schema/terms/CellLength	30	http://purl.obolibrary.org/obo/UO_0000017	http://www.ebi.ac.uk/efo/EFO_0001444		Compiler: Anne E Thessen	R022
M0179	C025		true	http://eol.org/schema/terms/CellWidth	25	http://purl.obolibrary.org/obo/UO_0000017	http://www.ebi.ac.uk/efo/EFO_0001444		Compiler: Anne E Thessen	R022
M0180	C026		true	http://eol.org/schema/terms/CellShapeFrontal	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R003
M0181	C026		true	http://purl.obolibrary.org/obo/OBA_0000052	http://purl.obolibrary.org/obo/PATO_0002053				Compiler: Anne E Thessen	R003
M0182	C026		true	http://eol.org/schema/terms/CellShapeTransverse	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R003
M0183	C026		true	http://eol.org/schema/terms/CellShapeMedian	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R003
M0184	C026		true	http://eol.org/schema/terms/CingulumType	http://eol.org/schema/terms/noDisplaceCingulum				Compiler: Anne E Thessen	R003
