Identifier	ScientificName	Parent TaxonID	TaxonRank	TaxonomicStatus	scientificNameAuthorship	namePublishedInYear	Name According To	taxonRemarks	nomenclaturalStatus
T032	Gymnodinium baicalense	T161	species		Antipova	1955			
T033	Gymnodinium baumeisteri	T161	species		Schiller	1957			
T034	Gymnodinium biciliatum	T161	species		Ohno	1911			
T035	Gymnodinium biconicum	T161	species		Schiller	1928			
T036	Gymnodinium bicorne	T161	species		Kofoid & Swezy	1921			
T037	Gymnodinium bifurcatum	T161	species		Kofoid & Swezy	1921			
T038	Gymnodinium birotundatum	T161	species		van Goor	1925			
T039	Gymnodinium bisaetosum	T161	species		Lindemann	1928			
T040	Gymnodinium boguensis	T161	species		Campbell	1973			
T315	Gymnodinium boguense	T040	species	lexical variant					
T041	Gymnodinium bonaerense	T161	species		Akselman	1983			
T042	Gymnodinium caerulescens	T161	species		Schiller	1957			
T043	Gymnodinium campbelli	T161	species		Popovsky	1971			
T044	Gymnodinium canus	T161	species		Kofoid & Swezy	1921			
T045	Gymnodinium capitatum	T161	species		Conrad & Kufferath	1954			
T046	Gymnodinium caput	T161	species		Schiller	1928			
T047	Gymnodinium cassiei	T161	species		Norris	1961			
T316	Gymnodinium caesiei	T047	species	lexical variant					
T048	Gymnodinium catenatum	T161	species		Graham	1943			
T317	Gymnodinium catena	T048	species	lexical variant					
T318	Gymnodinium catenata	T048	species	lexical variant					
T319	Gymnodinium chiastosporum	T161	species		(Harris) Cridland	1958			
T320	Dinastridium chiastosporum	T049	species	homotypic synonym	(Harris) Starmach	1974			
T321	Dinastridium sexangulare	T049	species	heterotypic synonym	Pascher	1927			
T322	Gymnodinium chiastosporum	T049	species	chresonym	Elbrachter & Schnepf				
T323	Gymnodinium hippocastanum	T049	species	heterotypic synonym	Cridland	1958			
T324	Tetradinium chiastosporum	T049	species	homotypic synonym	Harris	1940			
T050	Gymnodinium chukwanii	T161	species		Ballantine	1961			
T051	Gymnodinium cinctum	T161	species		Kofoid & Swezy	1921			
T052	Gymnodinium cnecoides	T161	species		Harris	1940			
T325	Gymnodinium saginatum	T052	species		Harris	1940			
T326	Gymnodinium luteofaba	T052	species		Javornický	1965			
T053	Gymnodinium coeruleum	T161	species		Dogiel	1906			
T327	Gymnodinium coerulatum	T053	species	lexical variant					
T054	Gymnodinium colymbeticum	T161	species		Harris	1940			
T055	Gymnodinium concavum	T161	species		Skvortzov	1968			
T056	Gymnodinium conicum	T492	species	synonym	Kofoid & Swezy	1921			
T057	Gymnodinium contractum	T161	species		Kofoid & Swezy	1921			
T058	Gymnodinium corii	T161	species		Schiller	1928			
T059	Gymnodinium corollarium	T161	species		"Sundström, Kremp & Daugbjerg"	2009			
T060	Gymnodinium corpusculum	T161	species		(Perty) Saville-Kent	1880/81			
T328	Peridinium corpusculum	T060	species	homotypic synonym	Perty	1852			
T061	Gymnodinium costatum	T161	species		Kofoid & Swezy	1921			
T062	Gymnodinium cryophilum	T161	species		"(Wedemayer, Wilcox & Graham) Hansen & Moestrup"	2000			
T329	Amphidinium cryophilum	T062	species	homotypic synonym	"Wedemayer, Wilcox & Graham"	1982			
T063	Gymnodinium cucumis	T161	species		Schütt	1895			
T064	Gymnodinium cyaneofungiforme	T161	species		Conrad & Kufferath	1954			
T065	Gymnodinium danicans	T161	species		Campbell	1973			
T066	Gymnodinium danubiense	T161	species		Schiller	1957			
T067	Gymnodinium deformabile	T161	species		Schiller	1957			
T068	Gymnodinium dentatum	T161	species		Larsen	1994			
T069	Gymnodinium devorans	T161	species		Schiller	1957			
T070	Gymnodinium diploconus	T161	species		Schütt	1895			
T071	Gymnodinium discoidale	T161	species		Harris	1940			
T330	Glenodinium eurystomum	T071	species	heterotypic synonym	Harris	1940			
T331	Gymnodinium disoidale	T071	species	lexical variant					
T072	Gymnodinium dissimile 	T161	species		Kofoid & Swezy	1921			
T073	Gymnodinium dodgei	T161	species		Kofoid & Swezy	1921			
T074	Gymnodinium dogieli	T161	species		Kofoid & Swezy	1921			
T332	Gymnodinium dogielii	T074	species	lexical variant					
T075	Gymnodinium doma	T161	species		Kofoid & Swezy	1921			
T076	Gymnodinium dorsalisulcum 	T161	species		"(Hulburt, McLaughlin & Zahl) Murray, de Salas & Hallegraeff"	2007			
T077	Gymnodinium endofasciculum	T161	species		Campbell	1973			
T078	Gymnodinium enorme	T161	species		Ballantine	1964			
T333	Gymnodinium irregulare	T078	species	heterotypic synonym	Conrad & Kufferath	1954			
T079	Gymnodinium eucyaneum	T280	species	synonym	"Hu, Yu & Zhang"				
T080	Gymnodinium eufrigidum	T161	species		Schiller	1957			
T081	Gymnodinium excavatum	T161	species		van Meel	1969			
T334	Gymnodinium excavata	T081	species	lexical variant					
T082	Gymnodinium exechegloutum	T161	species		Norris	1961			
T083	Gymnodinium filum	T161	species		Lebour	1917			
T084	Gymnodinium flavum	T161	species		Kofoid & Swezy	1921			
T085	Gymnodinium fossarum	T161	species		Conrad & Kufferath	1954			
T086	Gymnodinium fulgens	T161	species		Kofoid & Swezy	1921			
T087	Gymnodinium fuscum	T161	species		(Ehrenberg) Stein	1883			
T335	Peridinium fuscum	T087	species	homotypic synonym	Ehrenberg	1834			
T336	Gymnodinium caudatum	T087	species	heterotypic synonym	Prescott	1944			
T337	Gymnocystodinium gessneri	T087	species	heterotypic synonym	Baumeister	1957			
T338	Cystodinium gessneri	T087	species	heterotypic synonym	(Baumeister) Bourelly	1970			
T088	Gymnodinium galeaeforme	T161	species		Matzenauer	1933			
T339	Gymnodinium galaeforme	T088	species	lexical variant					
T089	Gymnodinium galeatum	T161	species		Larsen	1994			
T090	Gymnodinium galesianum	T161	species		Campbell	1973			
T091	Gymnodinium gelbum	T161	species		Kofoid	1931			
T092	Gymnodinium gibbera	T161	species		Schiller	1928			
T093	Gymnodinium glandiforme	T161	species		Conrad & Kufferath	1954			
T094	Gymnodinium glaucum	T161	species		Schiller	1957			
T095	Gymnodinium gleba 	T161	species		Schütt	1895			
T096	Gymnodinium gracile	T161	species		Bergh	1881/82			
T340	Gymnodinium abbreviatum splendens	T096	subspecies	heterotypic synonym	Lebour	1925			
T341	Gymnodinium lohmanni	T096	species	lexical variant	Paulsen	1908			
T342	Gymnodinium lohmannii	T096	species	heterotypic synonym	Paulsen	1908			
T343	Gymnodinium spirale var. nobilis	T096	variety	heterotypic synonym	Pouchet	1883			
T097	Gymnodinium gracilentum	T161	species		Campbell	1973			
T098	Gymnodinium grammaticum	T161	species		(Pouchet) Kofoid & Swezy	1921			
T344	Gymnodinium punctatum var. grammaticum	T098	variety	heterotypic synonym	Pouchet	1887			
T099	Gymnodinium granii	T161	species		Schiller	1957			
T100	Gymnodinium guttiforme	T161	species		Larsen	1994			
T101	Gymnodinium guttula	T161	species		(Hada) Balech	1976			
T345	Gymnodinium cinctum	T101	species		Hada	1970			
T102	Gymnodinium hamulus	T161	species		Kofoid & Swezy	1921			
T103	Gymnodinium herbaceum	T161	species		Kofoid	1921			
T104	Gymnodinium heterostriatum	T161	species		Kofoid & Swezy	1921			
T346	Gymnodinium spirale var. obtusum	T104	variety	heterotypic synonym	Dogiel	1906			
T105	Gymnodinium hiemale	T161	species		(Schiller) Popovsky	1990			
T347	Katodinium hiemale	T105	species	homotypic synonym	(Schiller) Loeblich	1965			
